count_location,ROAD_CLASS,TRAFFCTL,num_of_collisions,total_traffic,average_int_width,years,r
DUNDAS ST W AT KEELE ST (PX 188),Major Arterial,Traffic Signal,7,19081.85714285714,0.015,11,0.6091168186206465
BLACK CREEK DR AT HUMBER BLVD & WESTON RD (PX 577),Minor Arterial,No Control,3,21788.0,0.015,11,0.2286267693139894
EDITH DR AT ORCHARD VIEW BLVD,Collector,Stop Sign,5,2839.0,0.015,11,2.92433958542515
HARBORD ST AT MAJOR ST,Minor Arterial,No Control,2,10991.0,0.015,11,0.3021453947055591
MORNINGSIDE AVE AT SHEPPARD AVE E,Major Arterial,No Control,10,21449.0,0.015,11,0.7741340000020515
SNOWCREST AVE AT UNICORN AVE (WEST LEG),Local,Stop Sign,2,509.0,0.015,11,6.524322265636149
SIMCOE ST AT WELLINGTON ST (PX 264),Minor Arterial,Traffic Signal,3,9424.0,0.015,11,0.5285781037577675
DIXON RD AT GOLFWOOD HTS (PX 1354),Major Arterial,Traffic Signal,3,12464.0,0.015,11,0.3996566150363608
BATHURST ST AT MELGUND RD (PX 2503),Major Arterial,No Control,4,13815.0,0.015,11,0.48076439134401744
DANFORTH AVE AT ROYAL DR (PX 2455),Major Arterial,No Control,3,17970.0,0.015,11,0.2772020061109182
BAYLAWN DR AT BOARHILL DR & MIDLAND AVE (PX 1896),Major Arterial,No Control,2,11603.0,0.015,11,0.28620874198128077
MILNER AVE AT MORNINGSIDE AVE (PX 1584),Major Arterial,Traffic Signal,17,24627.882352941175,0.015,11,1.1461594577133323
DRIFTWOOD AVE AT JANE ST & MILO PARK GT (PX 1213),Major Arterial,Traffic Signal,5,16024.6,0.015,11,0.5180909403680592
CHARLES ST AT QUEENS PARK CR,Major Arterial,No Control,4,16321.0,0.015,11,0.40694565690935613
BAY MILLS BLVD AT BIRCHMOUNT RD & BONIS AVE (PX 1060),Major Arterial,Traffic Signal,11,17298.0,0.015,11,1.0558931773990288
LAWRENCE AVE W AT ROYAL YORK RD & THE WESTWAY (PX 780),Minor Arterial,Traffic Signal,10,15470.0,0.015,11,1.0733290346505495
